date,covered_holdings,requested_holdings,mom_12_1,mom_6_1,rev_1m,beta_spy_252,vol_63,liq_dollarvol_21
2025-01-02,4,4,0.18340761153824894,0.16113010526606986,-0.08066989145836448,0.2743548202165141,-0.3044384076868305,0.4684497177629905
2025-01-03,4,4,0.1716405603646675,0.13187560664927564,-0.1049847367268348,0.27068506524778946,-0.2915812221393356,0.4734892979455528
2025-01-06,4,4,0.1760432868965403,0.145080529997816,-0.011973644869356058,0.2686193390372808,-0.2969565204059752,0.4770355544597061
2025-01-07,4,4,0.17823259826082494,0.314490364761091,0.19511520267622653,0.26810290664779596,-0.2616407430132048,0.4776099930426484
2025-01-08,4,4,0.1704582424818714,0.19845548878072886,0.1567792598806105,0.26500813928846767,-0.2790751271929511,0.49186794382685023
2025-01-10,4,4,0.18943789800072677,0.2999553461799551,0.3234456954082614,0.2737351712288533,-0.25556394452014974,0.4960958902044371
2025-01-13,4,4,0.15832612305283955,0.05592760789889653,0.4278178669461895,0.27412740934920005,-0.2754257351248619,0.505395831495123
2025-01-14,4,4,0.1449589077809622,-0.08906186973474434,0.33755993565176784,0.27416993422045083,-0.29518052911368653,0.5252719929643437
2025-01-15,4,4,0.15202113599483497,-0.13316871209525127,0.46638699198188255,0.2723434417536016,-0.30499775788693473,0.5374452534473312
2025-01-16,4,4,0.15137992260798963,-0.12531382063972668,0.378135589957289,0.273998531765698,-0.2534358698091775,0.5474750125119536
2025-01-17,4,4,0.14504753147752017,-0.17562928681731724,0.29055806602476547,0.27418266017819554,-0.2491437935049377,0.558342745702393
2025-01-21,4,4,0.16023952513005393,-0.14524891679998744,0.4415507228610825,0.26349978685049474,-0.22847938745442337,0.5769491350225622
2025-01-22,4,4,0.187079869712845,-0.04634668353462568,0.21940881153547515,0.26297024843073485,-0.18714090608700604,0.5850408819312212
2025-01-23,4,4,0.2041300846923932,0.07744144042180648,0.3621877912167321,0.26167581195719325,-0.21366135652745571,0.5902298460925602
2025-01-24,4,4,0.22871449510257957,0.2172411307588631,0.5470957406621234,0.2638897480342923,-0.21649696549452596,0.5774635761127191
2025-01-27,4,4,0.22503876608385956,0.1603836265866918,0.571218422118074,0.26597992511111657,-0.024154709987801403,0.5663428557898706
2025-01-28,4,4,0.22980136250395572,0.18370737509319368,0.5252870338969018,0.2728135374652718,0.032822648113732505,0.5609883897837562
2025-01-29,4,4,0.23608805452340761,0.2709507724109685,0.556726180249345,0.27245334437492397,0.037774686726788395,0.5587161159509556
2025-01-30,4,4,0.2273972447127422,0.22782704998255893,0.7217793022045706,0.26742317754896816,0.08611939024575693,0.5613711495428582
2025-01-31,4,4,0.22016734663583365,0.10421717417228234,0.6840543478157846,0.2694202852788788,0.08644389498890376,0.5646711659264377
2025-02-03,4,4,0.2096632430845398,0.07526741601241668,0.7091423230301412,0.2820282827728865,0.10696183576192195,0.5611641483162609
2025-02-04,4,4,0.20703179547874428,-0.10733858668360305,0.709589462759822,0.27973763263281415,0.06247040870869537,0.5530016186237164
2025-02-05,4,4,0.21079429427033347,-0.03274574060210861,0.5532969257873902,0.30875408183065667,0.04810311845244361,0.5343712380608288
2025-02-06,4,4,0.1915648950315599,-0.16253424721702325,0.4100938524373739,0.31153863801991855,0.06429008388710218,0.5245179100711214
2025-02-07,4,4,0.18679932382802975,-0.2804072580261153,0.38023154721717545,0.31044629035669435,0.05878306857483041,0.5107724505295419
2025-02-10,4,4,0.1841814616733887,-0.27027247284370004,0.5012859204428812,0.3093382784109373,-0.004462955470252994,0.5098911458957446
2025-02-11,4,4,0.16481818295963271,-0.290113150046011,0.3629051334778125,0.3092091489842234,-0.012818820028892147,0.5130996114081947
2025-02-12,4,4,0.15409505491259293,-0.3974260477594521,0.13480460758681617,0.3063240434037405,-0.01652585805462234,0.5104955393705325
2025-02-13,4,4,0.1646832129977594,-0.4183025489082362,0.11702100721579534,0.307262107211434,-0.011130126105907495,0.5101723542989816
2025-02-14,4,4,0.16013499116914304,-0.32844667082686024,0.054642475838943355,0.30750409382876764,-0.010497657814834555,0.5012869263611464
2025-02-18,4,4,0.13595352353046986,-0.2055481711559289,-0.07944796394571711,0.3112197162168596,-0.02443406797477038,0.4834934159075881
2025-02-19,4,4,0.1459786332706114,-0.15169381348205624,-0.06783525621010633,0.31212166989269763,-0.02507639353513494,0.475090002959917
2025-02-20,4,4,0.10252124376093717,-0.2045105466675614,-0.25715479302739047,0.31215616929568835,-0.0008716020696565019,0.47070261439656935
2025-02-21,4,4,0.11657761020623542,-0.1492615779296118,-0.17312946301431215,0.2988627555249209,-0.03198994618314194,0.4596103721699526
2025-02-24,4,4,0.10029682284881886,-0.18262431528834586,-0.23356036631112206,0.29736400926979817,-0.03666041335296252,0.4553467592488277
2025-02-25,4,4,0.08114016811344626,-0.18350349887260495,-0.29023219699199215,0.29981340632441167,-0.025622580331417233,0.45020630952113094
2025-02-26,4,4,-0.008601961191412905,-0.2748599425768524,-0.4694955912527401,0.29989051551812884,0.0031696226695104857,0.4451402310126844
2025-02-27,4,4,0.06753843211637814,-0.1653195070380672,-0.19183135927747744,0.29969820381304396,0.009746599886628932,0.4405924918907572
2025-02-28,4,4,0.0757013154942573,-0.18681294954171274,-0.32577784231399554,0.30169045128087524,0.02253638301268779,0.43861460859640167
2025-03-03,4,4,0.012397019649959873,-0.23542940409467578,-0.5813123519510409,0.298418715241683,0.029150077173011102,0.42902447321139625
2025-03-04,4,4,-0.025820638250775782,-0.2878694365974244,-0.5791476413981197,0.304988645245984,0.03354393057138763,0.418179806722849
2025-03-05,4,4,-0.10381759791958636,-0.29020317940296103,-0.8090468831538145,0.30786396301100005,0.03634744562873854,0.41585475105076997
2025-03-06,4,4,-0.1268888072021443,-0.29742604529226224,-0.752162923045531,0.30477573082818415,0.017480005587916403,0.42130560425562885
2025-03-07,4,4,0.09876030459805873,-0.1656137744257662,-0.5148911448068408,0.30018862211004715,0.02716453393809959,0.4403553445654911
2025-03-10,4,4,0.08064634851692465,-0.13839641381239615,-0.127561150722177,0.3162063724945321,0.057583617284189176,0.4562220220348602
2025-03-11,4,4,0.08859212465193245,-0.09729529068143161,-0.07056118448965834,0.32714950314325336,0.07267994621157403,0.478163234621682
2025-03-12,4,4,0.07951019915289698,-0.1362130645088977,-0.13507908438290842,0.3249545313211037,0.1014802718447769,0.4854230284675789
2025-03-13,4,4,0.11585476116861748,-0.116653327026606,-0.06961812097166387,0.32329099175534826,0.09403991693457617,0.48681404315177945
2025-03-14,4,4,0.1296226595633538,-0.10489792344626941,0.019780722701712078,0.32496108068483714,0.11953689080689442,0.4903561224377314
2025-03-17,4,4,0.15525285597580332,-0.12268205444368138,0.09668167423684955,0.32530931308495215,0.15383358306079006,0.4828053006454024
2025-03-18,4,4,0.16965410772917022,-0.12179518436366482,0.1414775296500178,0.3209787996986815,0.1514352282933512,0.4790027076276586
2025-03-19,4,4,0.22545588700307878,-0.0540802519330395,0.24065871101377936,0.3237218113015334,0.15450423593991272,0.48517086894284256
2025-03-20,4,4,0.2539733660661224,-0.08192837420251503,0.29190677458058256,0.3267250058815669,0.1765337070477216,0.48024837557555144
2025-03-21,4,4,0.25571332235703337,-0.08622595693686921,0.31683773772213797,0.3252597061588008,0.18372457237672235,0.48070846669403244
2025-03-24,4,4,0.2901331050533479,-0.039059729973827284,0.4856616185377436,0.316728399133699,0.17477121378059146,0.4846925095840018
2025-03-25,4,4,0.3149535593588998,-0.02619174706435129,0.5555641735526847,0.3176592644567561,0.17778773981491358,0.4817090156816264
2025-03-26,4,4,0.3112961627716663,-0.019421335319554922,0.49692304689573047,0.31417128216223833,0.1684162077911322,0.4889754144773528
2025-03-27,4,4,0.2910878680554936,-0.060838842528194464,0.39040891281692,0.31207862974827305,0.1735193264748346,0.4937201697442168
2025-03-28,4,4,0.26308164127283584,-0.08044668220317186,0.3206990632288285,0.30725135951672383,0.15982206354421472,0.49325842174662304
2025-03-31,4,4,0.2745630462535945,-0.10164298369987035,0.32943608680527836,0.30606011987434323,0.16461052984939614,0.4940406901619656
2025-04-01,4,4,0.25041555485416844,-0.11597285065295368,0.31988390857049614,0.3057705680456501,0.16305170890904716,0.49378509299313933
2025-04-02,4,4,0.24145541357741354,-0.13794256303109853,0.2838210612285446,0.30464018543437016,0.1593334392822898,0.49343929208894155
2025-04-03,4,4,0.2586292376265858,-0.10782085111455536,0.30026835008581004,0.3106109078841778,0.16736480047164978,0.4899557506881328
2025-04-04,4,4,0.21242485614759132,-0.05396243617551272,0.37118580474624585,0.3381910163003352,0.1972443583332481,0.49101174331793995
2025-04-07,4,4,0.24489042605496608,-0.051703419133019984,0.43938565449319333,0.34051477634013,0.20180094805182214,0.4937771373931799
2025-04-08,4,4,0.15654736886443982,-0.16410657600725131,0.3481849587434038,0.34919250747117536,0.21244117121317657,0.4891587659789921
2025-04-09,4,4,0.1500478499171641,-0.2266032872320723,0.18327565701690135,0.38376774335855607,0.3111428681086075,0.4852475417109944
